time_ms,position_step,position_deg,target_step
10000,-1,0.000,-8480
10020,-22,-0.352,-8480
10040,-68,-1.406,-8480
10060,-139,-3.164,-8480
10080,-229,-5.273,-8480
10100,-318,-7.031,-8480
10120,-406,-8.262,-8480
10140,-497,-9.141,-8480
10160,-587,-9.316,-8480
10180,-679,-8.965,-8480
10200,-769,-8.086,-8480
10220,-860,-6.680,-8480
10240,-951,-4.922,-8480
10260,-1038,-2.813,-8480
10280,-1127,-0.527,-8480
10300,-1215,1.758,-8480
10320,-1307,3.691,-8480
10340,-1398,5.449,-8480
10360,-1489,6.680,-8480
10380,-1580,7.734,-8480
10400,-1671,8.262,-8480
10420,-1763,8.086,-8480
10440,-1853,7.559,-8480
10460,-1946,6.328,-8480
10480,-2036,4.922,-8480
10500,-2126,3.164,-8480
10520,-2219,1.055,-8480
10540,-2308,-0.879,-8480
10560,-2399,-2.813,-8480
10580,-2486,-4.570,-8480
10600,-2576,-5.977,-8480
10620,-2666,-7.207,-8480
10640,-2756,-7.910,-8480
10660,-2849,-8.086,-8480
10680,-2940,-7.910,-8480
10700,-3030,-7.031,-8480
10720,-3119,-5.801,-8480
10740,-3208,-4.219,-8480
10760,-3295,-2.461,-8480
10780,-3380,-0.352,-8480
10800,-3470,1.582,-8480
10820,-3560,3.340,-8480
10840,-3654,4.922,-8480
10860,-3744,6.152,-8480
10880,-3834,7.031,-8480
10900,-3925,7.383,-8480
10920,-4010,7.559,-8480
10940,-4100,7.031,-8480
10960,-4192,5.977,-8480
10980,-4284,4.395,-8480
11000,-4375,2.813,-8480
11020,-4466,0.879,-8480
11040,-4558,-1.055,-8480
11060,-4647,-2.988,-8480
11080,-4737,-4.570,-8480
11100,-4827,-5.977,-8480
11120,-4917,-7.031,-8480
11140,-5008,-7.734,-8480
11160,-5099,-7.734,-8480
11180,-5190,-7.383,-8480
11200,-5282,-6.680,-8480
11220,-5374,-5.449,-8480
11240,-5462,-3.691,-8480
11260,-5552,-1.934,-8480
11280,-5642,0.000,-8480
11300,-5733,1.934,-8480
11320,-5821,3.691,-8480
11340,-5912,5.098,-8480
11360,-6007,6.152,-8480
11380,-6099,6.855,-8480
11400,-6189,7.031,-8480
11420,-6280,6.855,-8480
11440,-6374,6.152,-8480
11460,-6468,4.922,-8480
11480,-6561,3.516,-8480
11500,-6649,2.109,-8480
11520,-6744,0.352,-8480
11540,-6835,-1.406,-8480
11560,-6925,-2.988,-8480
11580,-7016,-4.570,-8480
11600,-7102,-5.273,-8480
11620,-7187,-5.977,-8480
11640,-7277,-6.504,-8480
11660,-7368,-6.504,-8480
11680,-7461,-6.152,-8480
11700,-7551,-5.449,-8480
11720,-7639,-4.219,-8480
11740,-7732,-2.988,-8480
11760,-7823,-1.582,-8480
11780,-7913,0.000,-8480
11800,-8004,1.582,-8480
11820,-8095,2.988,-8480
11840,-8186,4.219,-8480
11860,-8278,5.098,-8480
11880,-8366,5.801,-8480
11900,-8429,6.680,-8480
11920,-8466,7.910,-8480
11940,-8480,9.141,-8480
11960,-8480,10.195,-8480
11980,-8480,10.723,-8480
12000,-8480,10.547,-8480
12020,-8480,9.668,-8480
12040,-8480,8.086,-8480
12060,-8480,6.152,-8480
12080,-8480,3.867,-8480
12100,-8480,1.230,-8480
12120,-8480,-1.406,-8480
12140,-8480,-4.043,-8480
12160,-8480,-6.328,-8480
12180,-8480,-8.262,-8480
12200,-8480,-9.668,-8480
12220,-8480,-10.371,-8480
12240,-8480,-10.371,-8480
12260,-8480,-9.844,-8480
12280,-8480,-8.613,-8480
12300,-8480,-6.855,-8480
12320,-8480,-4.746,-8480
12340,-8480,-2.285,-8480
12360,-8480,0.352,-8480
12380,-8480,2.813,-8480
12400,-8480,5.273,-8480
12420,-8480,7.207,-8480
12440,-8480,8.789,-8480
12460,-8480,9.844,-8480
12480,-8480,10.371,-8480
12500,-8480,10.020,-8480
12520,-8480,9.316,-8480
12540,-8480,7.910,-8480
12560,-8480,5.977,-8480
12580,-8480,3.691,-8480
12600,-8480,1.406,-8480
12620,-8480,-1.055,-8480
12640,-8480,-3.340,-8480
12660,-8480,-5.449,-8480
12680,-8480,-7.207,-8480
12700,-8480,-8.438,-8480
12720,-8480,-9.316,-8480
12740,-8480,-9.492,-8480
12760,-8480,-9.316,-8480
12780,-8480,-8.438,-8480
12800,-8480,-7.031,-8480
12820,-8480,-5.273,-8480
12840,-8480,-3.164,-8480
12860,-8480,-0.703,-8480
12880,-8480,1.406,-8480
12900,-8480,3.691,-8480
12920,-8480,5.625,-8480
12940,-8480,7.207,-8480
12960,-8480,8.262,-8480
12980,-8480,8.789,-8480
13000,-8480,8.789,-8480
13020,-8480,8.262,-8480
13040,-8480,7.031,-8480
13060,-8480,5.625,-8480
13080,-8480,3.691,-8480
13100,-8480,1.582,-8480
13120,-8480,-0.527,-8480
13140,-8480,-2.637,-8480
13160,-8480,-4.570,-8480
13180,-8480,-6.152,-8480
13200,-8480,-7.383,-8480
13220,-8480,-8.086,-8480
13240,-8480,-8.262,-8480
13260,-8480,-7.910,-8480
13280,-8480,-7.207,-8480
13300,-8480,-5.977,-8480
13320,-8480,-4.219,-8480
13340,-8480,-2.285,-8480
13360,-8480,-0.352,-8480
13380,-8480,1.758,-8480
13400,-8480,3.691,-8480
13420,-8480,5.449,-8480
13440,-8480,6.680,-8480
13460,-8480,7.207,-8480
13480,-8480,7.383,-8480
13500,-8480,7.383,-8480
